ts_pdc,min_ts,ts_send,ts_patch
1592997893416.0,1592997893312.0,1592997893465.0,1592997895957.8298
1592997895981.0,1592997895912.0,1592997896002.0,1592997899272.213
1592997899268.0,1592997899166.0,1592997899319.0,1592997902404.479
1592997902429.0,1592997902312.0,1592997902448.0,1592997906972.6428
1592997906965.0,1592997906853.0,1592997907021.0,1592997909188.127
1592997909174.0,1592997909112.0,1592997909232.0,1592997911785.325
1592997911806.0,1592997911711.0,1592997911827.0,1592997913016.185
1592997913016.0,1592997912911.0,0,0
1592997913069.0,1592997912957.0,1592997913102.0,1592997914482.616
1592997914502.0,1592997914404.0,1592997914528.0,1592997915700.399
1592997915721.0,1592997915612.0,0,0
1592997915770.0,1592997915686.0,1592997915785.0,1592997917168.0552
1592997917154.0,1592997917103.0,1592997917211.0,1592997918398.145
1592997918420.0,1592997918311.0,1592997918440.0,1592997920248.519
1592997920251.0,1592997920163.0,1592997920291.0,1592997921587.354
1592997921574.0,1592997921511.0,0,0
1592997921622.0,1592997921511.0,0,0
1592997921673.0,1592997921604.0,1592997921715.0,1592997923058.5999
1592997923038.0,1592997922941.0,0,0
1592997923090.0,1592997923011.0,0,0
1592997923143.0,1592997923077.0,1592997923183.0,1592997924656.398
1592997924672.0,1592997924534.0,1592997924701.0,1592997927180.021
1592997927172.0,1592997927111.0,1592997927223.0,1592997931071.7249
1592997931068.0,1592997930979.0,0,0
1592997931119.0,1592997931011.0,0,0
1592997931171.0,1592997931111.0,1592997931198.0,1592997933172.029
1592997933170.0,1592997933102.0,1592997933216.0,1592997935491.801
1592997935522.0,1592997935411.0,1592997935535.0,1592997937184.1482
1592997937211.0,1592997937111.0,1592997937226.0,1592997939820.508
1592997939805.0,1592997939711.0,1592997939863.0,1592997941759.8801
1592997941749.0,1592997941689.0,1592997941804.0,1592997943200.075
1592997943200.0,1592997943087.0,1592997943252.0,1592997945092.063
1592997945091.0,1592997945011.0,1592997945134.0,1592997947663.289
1592997947688.0,1592997947599.0,1592997947706.0,1592997949271.927
1592997949275.0,1592997949204.0,1592997949314.0,1592997952844.072
1592997952869.0,1592997952786.0,1592997952886.0,1592997954298.36
1592997954325.0,1592997954206.0,1592997954340.0,1592997959671.865
1592997959626.0,1592997959510.0,0,0
1592997959682.0,1592997959601.0,1592997959756.0,1592997965514.109
1592997965526.0,1592997965410.0,1592997965556.0,1592997971380.41
1592997971373.0,1592997971266.0,1592997971425.0,1592997974796.1099
1592997974824.0,1592997974710.0,0,0
1592997974876.0,1592997974810.0,0,0
1592997974922.0,1592997974810.0,0,0
1592997974971.0,1592997974904.0,1592997974982.0,1592997976480.459
1592997976468.0,1592997976410.0,1592997976525.0,1592997978744.4202
1592997978768.0,1592997978671.0,1592997978787.0,1592997980591.9412
1592997980596.0,1592997980510.0,1592997980636.0,1592997982705.717
1592997982713.0,1592997982610.0,0,0
1592997982759.0,1592997982695.0,1592997982793.0,1592997984096.463
1592997984122.0,1592997983978.0,1592997984141.0,1592997986886.1948
1592997986906.0,1592997986810.0,1592997986928.0,1592997989456.739
1592997989489.0,1592997989410.0,0,0
1592997989489.0,1592997989410.0,0,0
1592997989536.0,1592997989473.0,0,0
1592997989590.0,1592997989510.0,0,0
1592997989638.0,1592997989563.0,1592997989665.0,1592997994064.089
1592997994086.0,1592997993996.0,0,0
